likelihood_theta2,theta2
4.0888925716e-19,0.3929263532
4.9936093239e-18,0.8024862594
3.6684464610e-23,2.0708527537
3.6937599612e-34,3.0157811079
8.9194991157e-20,0.2625797556
5.6500072811e-23,2.0502460549
3.9767738917e-18,0.7307628436
2.8555485980e-20,0.1830308583
4.3470277565e-57,4.8904075701
7.1548038149e-58,4.9701748202
7.1014168846e-26,2.3407737417
3.1770101666e-19,0.3686587340
1.2717595697e-18,0.5235749044
1.5476593147e-19,0.3058035835
4.4800284417e-20,1.6679492396
1.0797651583e-29,2.6681135335
2.1935745268e-20,1.7175029359
2.3795400734e-21,0.0467288423
5.3418157278e-18,0.8312115633
2.4709034686e-19,1.5325544992
6.8016518427e-21,0.0975452038
4.3247558336e-18,1.1466017438
3.8030332929e-19,0.3858188989
1.0867544465e-20,0.1237457697
1.1946246672e-18,1.3691126449
8.1801298771e-21,0.1076535064
9.2759613486e-19,0.4828200138
2.6765360601e-18,0.6425078972
8.4086458333e-19,1.4108163200
4.9477161849e-50,4.2423674973
4.4416526164e-21,0.0753568262
7.1491694316e-26,2.3405058367
2.0267270132e-18,0.5931879043
4.9508831634e-20,0.2200250979
1.1080502072e-20,0.1248678658
2.5041912390e-20,0.1745615358
1.5561634949e-26,2.4005634312
2.8347796541e-35,3.0998127293
1.0671801773e-53,4.5650101824
3.2389388513e-20,1.6908657293
3.9563658021e-29,2.6221513938
2.8067198259e-18,1.2421838241
3.0906845504e-36,3.1719308289
4.6167052242e-41,3.5328573833
6.5205551839e-21,1.7951818325
2.4407063405e-51,4.3544259088
1.1324035925e-20,0.1261283372
1.2648202143e-18,0.5228304932
7.9717091378e-21,0.1062230202
3.1994439782e-20,0.1904739793
5.3183654230e-18,1.0754907741
1.3231381037e-20,0.1352576446
5.7086105277e-18,1.0378110193
1.3713631630e-36,3.1983093939
1.3464128366e-19,0.2945252254
2.5720914121e-49,4.1822022192
1.3287002136e-21,1.8877232679
2.2393613206e-20,0.1674552249
2.0985671042e-20,0.1633700967
3.3067852021e-37,3.2444327779
5.5845100972e-26,2.3503556313
1.0020748739e-19,0.2714125619
3.8662728526e-18,1.1755507278
5.9708069818e-18,0.9996542173
1.6400215801e-18,0.5599077004
1.1217461689e-19,1.5987380628
6.8824416607e-19,0.4477738851
1.6745681410e-19,0.3123003601
1.2462962215e-18,0.5208303673
4.7181471510e-18,1.1205270617
5.7494649695e-18,1.0330048287
5.7418839703e-18,0.8721790787
3.0113353890e-19,1.5147328673
3.3819107494e-18,0.6911082903
5.4539925176e-18,0.8414931061
1.1805189263e-20,0.1285508843
1.0728305993e-20,1.7641690655
5.5163717242e-26,2.3508439128
3.1541545572e-31,2.7903335480
6.0789267961e-18,0.9428214082
3.2304871069e-18,0.6809172350
4.7491770506e-19,0.4079845219
1.2510820653e-19,0.2886803099
