beta,sigma,theta1,theta2
1.539419,2.365599,6.733521,1.331123
1.344017,1.338201,1.323299,1.348028
1.534230,1.486256,1.356078,1.351848
1.358992,1.361111,1.351009,1.316962
2.468262,1.816927,2.082962,1.579100
1.429479,1.287720,1.184940,4.098547
5.577248,3.924361,2.091612,1.445958
1.500639,1.268606,1.334669,1.342412
1.287607,1.384223,1.334503,1.486634
1.360229,1.342061,1.338485,1.350626
3.106062,2.226097,5.056490,2.277470
1.281851,1.574333,1.481170,1.501219
1.439166,1.762521,1.541536,2.155980
1.540856,1.390551,2.669319,4.019216
9.663179,10.698162,17.849358,8.037438
1.341441,1.297906,1.364823,1.270667
1.272102,1.478157,2.191015,9.155423
8.503608,5.915127,4.719941,1.308455
1.311431,1.343875,1.327323,3.138003
2.150367,1.799421,1.431988,1.311015
1.661513,1.495126,1.410865,1.887659
1.286967,1.439351,10.807900,1.357280
1.344464,1.328922,1.321692,1.347660
1.344761,1.471770,1.328329,1.332071
1.336829,1.385587,1.315295,1.782903
1.345417,1.321598,1.362051,1.363154
1.353856,1.933710,1.387339,3.418248
1.800002,1.479740,1.487556,1.391293
1.472448,1.650869,1.717509,1.872049
1.798034,1.445466,1.292311,1.400876
1.275139,1.432787,1.320503,1.296951
1.279804,1.671834,2.041907,1.817903
1.428108,1.900299,2.423258,1.717379
1.380064,1.297483,1.285658,1.321043
2.701304,3.715911,1.446854,1.295359
1.282754,1.453877,1.441301,1.622548
1.576265,1.207544,1.432790,2.491836
2.231881,1.102931,2.225806,1.819837
1.972920,1.500380,1.433731,1.322036
1.361562,1.739103,1.402068,1.424665
1.975524,1.462591,1.606362,1.996919
1.639425,1.435363,1.852495,1.405326
1.578870,1.713477,1.480616,1.587180
1.371297,1.331721,1.352238,1.353749
1.342538,1.346062,1.325776,1.275237
2.140702,2.212768,1.805684,1.448402
1.340357,2.134851,1.429082,1.371934
2.849845,2.165916,1.438228,1.341529
1.341755,1.386572,1.361680,1.375696
1.343509,1.340892,1.346252,1.379442
1.751965,1.777278,2.096303,1.273121
1.647258,2.319064,1.480804,1.347015
1.362592,1.648733,1.304241,1.510207
1.426054,1.429274,1.573432,1.376813
2.133803,5.798095,5.658052,2.859924
3.104571,1.341168,3.536963,1.360836
3.142990,1.370024,1.571665,1.468779
1.578376,1.779804,1.401641,1.890246
1.312702,1.355535,1.324748,2.072639
1.489038,2.544862,1.743530,1.910674
1.582878,1.527083,1.674464,1.528518
1.343044,1.299812,1.600411,1.328200
2.855029,1.860637,1.911138,1.716699
4.019665,1.478984,1.738168,1.870540
1.604474,1.363620,1.323681,1.333522
1.342718,1.339295,1.923202,1.425287
1.381035,1.388988,1.533689,1.379138
1.498673,2.633652,1.708356,2.583563
1.348230,1.671784,2.762010,1.407780
1.472232,1.904573,1.349322,1.526975
1.630289,1.478280,1.372830,1.472120
1.336952,1.645903,1.379403,1.303461
1.250635,1.540413,1.456732,1.484237
1.330118,1.865353,1.441034,2.010762
1.442656,1.406994,1.602931,2.210252
1.773983,1.371441,1.350766,3.580623
1.343698,1.348683,2.248356,1.566463
1.508696,1.386570,1.397923,1.444659
1.474391,1.801704,2.876381,1.704426
1.295659,2.721341,2.056165,1.367781
2.187089,1.427195,1.925176,2.357813
1.410569,2.148634,1.791633,1.323418
1.536418,1.844762,1.520201,1.610244
1.422089,3.550293,1.331503,2.615067
1.418495,1.798968,1.406258,2.304641
1.848256,2.331474,2.568042,1.517571
1.363212,3.420672,1.667848,1.337296
1.324418,1.342638,1.326885,1.828072
0.945524,1.191921,1.332520,1.858072
1.431901,1.702352,1.275013,1.563734
2.455989,1.310265,1.377858,1.270043
1.350726,1.494210,1.630001,2.062196
2.100867,1.128243,2.253652,1.348080
1.776959,1.558637,1.285924,1.466490
1.327130,1.297497,1.362180,1.292721
1.329411,1.532586,1.646238,3.799391
4.427638,4.037490,5.869343,2.503659
8.424360,5.462291,10.073011,1.668153
1.336302,1.351361,1.328970,1.523309
1.370042,1.718340,1.343888,1.373066
1.347157,1.349203,1.327825,1.330657
1.331203,1.345647,1.303489,1.352300
1.272810,1.337006,1.352821,1.327947
1.268599,2.110510,1.406817,1.340772
1.342096,1.340462,1.460062,1.297852
1.343026,1.338565,1.316617,1.340328
1.327110,1.295793,1.429165,1.392233
1.627958,1.289062,1.271070,1.350592
1.976172,1.353576,8.215840,7.838803
1.435555,1.342063,1.359356,1.297277
1.917477,16.328485,11.657922,7.022593
2.189292,2.037306,1.329181,1.269142
1.270607,1.350557,1.348103,1.318614
1.337381,2.731360,1.329835,1.567772
1.899818,5.759346,1.327363,1.501409
1.484384,1.325141,1.341481,1.356610
1.558483,1.552062,1.639552,1.332137
3.965887,3.501288,1.948579,2.839078
4.848185,1.863345,1.519773,2.848411
2.409550,1.768353,2.460927,1.435640
1.446952,1.268599,1.226123,1.683672
1.342840,1.442085,1.606639,1.411848
1.045836,1.795901,1.315952,1.507411
1.336488,1.447053,1.552188,2.533389
1.598315,1.304810,1.315511,2.367306
2.474336,1.348125,1.327079,1.325489
1.310088,5.821941,6.198587,1.946218
5.447562,1.475655,1.388758,1.454845
1.735687,1.516791,1.483528,1.445250
3.009598,1.268791,1.439905,1.770167
1.348082,1.420809,1.432036,1.930037
1.303209,1.885898,1.884981,1.501486
1.589113,1.339657,1.653138,1.578269
1.414310,1.316205,1.472992,1.569967
1.659423,5.245386,3.146812,3.273403
4.849260,7.106528,1.465663,1.340426
2.142014,2.850732,4.259192,5.861397
4.421634,1.946055,2.619923,1.486198
1.273541,3.020538,1.432728,1.311112
