tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.928778,0.002495
2.000000,0.869975,0.004493
3.000000,0.818858,0.006182
4.000000,0.773452,0.007639
5.000000,0.731367,0.008963
6.000000,0.690560,0.010228
7.000000,0.650835,0.011438
8.000000,0.613060,0.012567
9.000000,0.576066,0.013652
10.000000,0.542835,0.014610
11.000000,0.512395,0.015476
12.000000,0.483636,0.016287
13.000000,0.457053,0.017033
14.000000,0.431123,0.017757
15.000000,0.405106,0.018478
16.000000,0.380979,0.019141
17.000000,0.358294,0.019758
18.000000,0.335617,0.020363
19.000000,0.315406,0.020898
20.000000,0.296747,0.021386
21.000000,0.279543,0.021828
22.000000,0.261987,0.022262
23.000000,0.245876,0.022650
24.000000,0.231075,0.022996
25.000000,0.216357,0.023324
26.000000,0.203944,0.023595
27.000000,0.192937,0.023827
28.000000,0.182697,0.024033
29.000000,0.174510,0.024193
30.000000,0.165727,0.024352
31.000000,0.158902,0.024471
32.000000,0.151905,0.024585
33.000000,0.145382,0.024685
34.000000,0.139658,0.024765
35.000000,0.132324,0.024862
36.000000,0.125730,0.024938
37.000000,0.121195,0.024976
38.000000,0.117742,0.024992
39.000000,0.114290,0.025001
40.000000,0.112302,0.024982
41.000000,0.109807,0.024961
42.000000,0.106399,0.024945
43.000000,0.104461,0.024902
44.000000,0.101321,0.024869
45.000000,0.098572,0.024827
46.000000,0.096244,0.024780
47.000000,0.094161,0.024731
48.000000,0.092215,0.024686
49.000000,0.089495,0.024656
50.000000,0.087069,0.024629
51.000000,0.084597,0.024608
52.000000,0.082421,0.024589
53.000000,0.080797,0.024569
54.000000,0.079193,0.024558
55.000000,0.077318,0.024559
56.000000,0.076878,0.024555
57.000000,0.076337,0.024561
58.000000,0.074847,0.024585
59.000000,0.071872,0.024628
60.000000,0.068945,0.024675
61.000000,0.067037,0.024714
62.000000,0.066492,0.024742
63.000000,0.065237,0.024779
64.000000,0.064156,0.024816
65.000000,0.062931,0.024858
66.000000,0.061491,0.024908
67.000000,0.060866,0.024960
68.000000,0.060802,0.025018
69.000000,0.060458,0.025086
70.000000,0.059670,0.025163
71.000000,0.058846,0.025243
72.000000,0.056888,0.025333
73.000000,0.056043,0.025414
74.000000,0.054032,0.025499
75.000000,0.053227,0.025571
76.000000,0.053466,0.025626
77.000000,0.054376,0.025667
78.000000,0.053615,0.025709
79.000000,0.053090,0.025737
80.000000,0.051621,0.025759
81.000000,0.050205,0.025770
82.000000,0.049073,0.025770
83.000000,0.047745,0.025761
84.000000,0.045930,0.025748
85.000000,0.044157,0.025728
86.000000,0.040711,0.025711
87.000000,0.037934,0.025689
88.000000,0.035498,0.025667
89.000000,0.032841,0.025653
90.000000,0.029867,0.025650
91.000000,0.025671,0.025664
92.000000,0.023209,0.025682
93.000000,0.019763,0.025715
94.000000,0.017073,0.025750
95.000000,0.015510,0.025784
96.000000,0.013278,0.025822
97.000000,0.011725,0.025857
98.000000,0.011001,0.025889
99.000000,0.010356,0.025921
100.000000,0.010221,0.025952
101.000000,0.009991,0.025981
102.000000,0.009306,0.026008
103.000000,0.007905,0.026032
104.000000,0.006762,0.026047
105.000000,0.004438,0.026059
106.000000,0.002527,0.026064
107.000000,0.001077,0.026061
108.000000,-0.000978,0.026053
109.000000,-0.001962,0.026034
110.000000,-0.001911,0.026005
111.000000,-0.001937,0.025969
112.000000,-0.001164,0.025921
113.000000,-0.001376,0.025867
114.000000,-0.001879,0.025804
115.000000,-0.000547,0.025726
116.000000,0.001432,0.025633
117.000000,0.003040,0.025536
118.000000,0.004973,0.025448
119.000000,0.007076,0.025369
120.000000,0.007748,0.025302
121.000000,0.007630,0.025243
122.000000,0.008003,0.025189
123.000000,0.008596,0.025140
124.000000,0.009208,0.025096
125.000000,0.008709,0.025060
126.000000,0.008656,0.025026
127.000000,0.006989,0.025001
128.000000,0.006379,0.024977
129.000000,0.004333,0.024959
130.000000,0.002175,0.024945
131.000000,0.000595,0.024932
132.000000,-0.000722,0.024919
133.000000,-0.000936,0.024905
134.000000,-0.000706,0.024891
135.000000,-0.000281,0.024878
136.000000,0.002006,0.024860
137.000000,0.005068,0.024840
138.000000,0.008039,0.024821
139.000000,0.009370,0.024807
140.000000,0.011212,0.024792
