x1 x2 y
-2.00000 0.00000 3.733333
-1.80000 -0.70000 2.512848
-1.60000 0.50000 0.519845
-1.40000 1.00000 0.882485
-1.20000 -0.30000 2.433168
-1.00000 0.20000 1.879733
-0.80000 -0.80000 1.505621
-0.60000 0.70000 -0.236208
-0.40000 -0.40000 0.210005
-0.20000 0.10000 0.097061
0.00000 -0.90000 -0.615600
0.20000 0.90000 -0.278939
0.40000 0.40000 0.210005
0.60000 -0.50000 0.133392
0.80000 -0.10000 1.667621
1.00000 -1.00000 1.233333
1.20000 0.80000 2.439168
1.40000 0.30000 2.374885
1.60000 -0.60000 0.188245
1.80000 -0.20000 1.738848
2.00000 0.60000 4.011733
