x1,x2,y_krig,mse
-0.174246,-0.819935,-0.542660,0.0041470936
0.603903,-0.168239,1.021731,0.0017565129
-1.995286,-0.978241,3.921117,0.0063495532
1.671819,-0.145191,2.044289,0.0024481660
1.795800,0.328812,3.042145,0.0058879803
0.417462,-0.690961,-0.592818,0.0077068624
0.921475,-0.957075,0.980726,0.0018834691
1.380146,0.625753,2.298278,0.0040545590
1.098482,0.142359,2.245910,0.0066793872
-0.712261,-0.020181,1.729971,0.0091614724
-0.015903,0.226772,-0.269502,0.0050426659
-1.022194,-0.672768,1.830383,0.0055645223
0.002049,-0.055373,0.016428,0.0033136758
1.448932,-0.776094,0.317816,0.0076203289
-0.583795,-0.507661,0.655261,0.0048691031
-0.520911,-0.397530,0.624860,0.0020854411
-1.778183,-0.413402,2.584277,0.0071518096
0.167530,0.806071,-0.666096,0.0015379641
-1.843513,0.164719,2.752521,0.0064259074
-1.273967,0.021531,2.574682,0.0061800019
-0.347787,0.525043,-0.732438,0.0077111094
1.707871,0.457456,2.874647,0.0077302689
-0.427957,0.289382,0.146567,0.0067518063
1.986328,-0.900588,-0.500142,0.0140754076
0.669602,-0.731327,0.044667,0.0065094200
0.334560,-0.351484,-0.161323,0.0039072662
-1.399098,0.662199,0.013844,0.0047794005
-1.663269,0.702292,0.005386,0.0035740416
0.844164,0.084466,1.877824,0.0044216159
-1.070550,-0.623242,1.877943,0.0065810149
-1.334006,-0.870269,2.820254,0.0008745626
-0.084909,0.940185,-0.467460,0.0011737389
0.519860,-0.252306,0.580422,0.0027372918
1.537961,0.068406,2.551677,0.0074506328
-1.563142,0.410612,0.933575,0.0024615992
-1.514745,0.962034,0.545119,0.0023215198
1.199792,0.743880,2.263015,0.0009088131
-0.954255,0.873690,0.689187,0.0098797322
-0.769110,0.381732,0.773374,0.0072670597
-1.738750,-0.460574,2.441385,0.0072498082
-1.194080,0.588661,0.334134,0.0075918306
-0.268776,-0.280205,0.071243,0.0022626165
-0.876057,-0.581557,1.493501,0.0061227163
0.736886,0.482465,1.160906,0.0066273196
1.015431,0.898009,2.492303,0.0043984848
1.896452,0.274886,3.233261,0.0070302950
1.322680,-0.097784,2.281487,0.0039040325
0.118348,0.781659,-0.833598,0.0027994966
0.248259,-0.550926,-0.778941,0.0051837830
1.224438,-0.228852,1.952726,0.0019836579
