tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.586134,0.008527
2.000000,0.374319,0.012291
3.000000,0.309589,0.012804
4.000000,0.265289,0.013153
5.000000,0.196351,0.014161
6.000000,0.145445,0.014803
7.000000,0.123315,0.014936
8.000000,0.082447,0.015158
9.000000,0.071424,0.014929
10.000000,0.088612,0.014685
11.000000,0.096438,0.014443
12.000000,0.088761,0.014343
13.000000,0.069309,0.014411
14.000000,0.072985,0.014239
15.000000,0.066496,0.014217
16.000000,0.065557,0.014206
17.000000,0.040250,0.014291
18.000000,0.021271,0.014391
19.000000,0.034449,0.014342
20.000000,0.039939,0.014399
21.000000,0.029120,0.014545
22.000000,0.027116,0.014613
23.000000,0.013411,0.014673
24.000000,0.012404,0.014607
25.000000,0.015972,0.014476
26.000000,0.018618,0.014429
27.000000,0.006262,0.014422
28.000000,0.002610,0.014419
29.000000,-0.000713,0.014420
30.000000,0.001209,0.014409
31.000000,0.002246,0.014401
32.000000,0.002451,0.014392
33.000000,0.000309,0.014387
34.000000,-0.003305,0.014383
35.000000,-0.006840,0.014376
36.000000,-0.000367,0.014367
37.000000,0.001475,0.014365
38.000000,-0.004458,0.014367
39.000000,-0.002362,0.014366
40.000000,0.002449,0.014365
41.000000,0.006411,0.014363
42.000000,0.012352,0.014359
43.000000,0.012411,0.014358
44.000000,0.014188,0.014356
45.000000,0.019070,0.014353
46.000000,0.018591,0.014353
47.000000,0.018210,0.014354
48.000000,0.014843,0.014358
