likelihood_sigma,sigma
4.1048706627e-28,3.1873579325
6.4877616794e-37,2.0231917281
4.1918277426e-22,7.9790849904
6.5166817104e-41,1.7565897927
8.9933132454e-42,1.7091034680
4.8251610608e-22,10.2311035379
2.0906953321e-34,133.1932360519
2.0545037796e-22,6.7897461977
1.7328535915e-22,13.7335872430
3.1645730915e-43,1.6350020970
4.6251234785e-22,10.4957574550
1.0023094727e-40,1.7673055851
4.1612069253e-25,27.9584891998
6.3335170224e-25,4.2552277437
2.7734135329e-32,2.4810897780
1.4531144698e-32,2.4464154222
4.0414081877e-35,2.1757973961
2.7720436062e-26,3.6982173738
1.3371959588e-24,25.0655276814
5.3507939102e-26,33.4367358818
2.3832202392e-23,5.3541068050
8.2379767379e-25,26.2485823755
2.1609607916e-23,5.3117962914
6.6429727540e-35,2.1959660984
2.6505857961e-26,3.6916281995
2.1025016475e-23,5.3001418371
3.6874697333e-23,17.4063652313
3.8791898980e-22,7.7771848270
3.0843739108e-45,1.5434135482
2.0358273099e-23,18.7506971843
8.7061291382e-36,163.6048960301
1.3259260851e-29,2.8834235627
5.3473520195e-45,616.9673584070
4.6255761216e-22,10.4952011361
8.7201634006e-32,89.2747182632
1.4425808647e-34,2.2283155190
5.2914695061e-43,1.6459183456
3.8444947625e-22,7.7560563316
7.1221204025e-23,15.8957266360
1.6749649388e-22,13.8213010858
3.8714904749e-29,2.9704055672
3.6618701509e-22,7.6480080848
3.4500953214e-26,3.7308533980
3.4997220358e-32,94.9435926184
1.7696534781e-31,2.5873162190
1.2330425110e-32,101.8122475999
3.2268148774e-35,2.1668017924
1.8241386905e-25,4.0074650323
1.2450652047e-30,2.7116410609
2.5060517712e-39,1.8523236023
1.4753969131e-35,2.1361824330
3.0079731595e-23,5.4594649980
7.9202513845e-46,1.5186230504
3.5057352673e-23,5.5327524123
4.3341462448e-33,2.3844824742
2.5000075126e-42,1.6798952932
8.4427877911e-36,2.1149413441
1.1273666717e-35,2.1258837581
4.6030520320e-29,2.9850682188
2.8905361988e-25,28.8924575916
1.2904230646e-33,118.2307184147
3.6142529772e-32,2.4956333775
1.9245276348e-46,1.4937351319
1.1201403149e-22,6.2368452656
5.1455871624e-22,9.5572141460
3.3485678642e-24,4.6671100172
1.7653330849e-22,6.6312248221
6.2174404242e-25,4.2512261092
6.0959732953e-43,1.6489521353
3.6762773769e-23,17.4132688669
1.1089902099e-34,2.2172218761
2.2680545090e-22,13.0130102559
1.7390262064e-40,1.7812355369
1.1756333675e-27,3.2976141694
4.0818229999e-22,7.9053626082
2.0990278580e-40,1.7860484443
2.2900456815e-24,4.5629144685
1.0185818984e-24,25.7273407540
3.6901441110e-28,49.4857855171
9.1608237144e-35,140.5363839384
2.2903205395e-25,29.4974343298
3.6032762680e-30,2.7856559143
2.7893302886e-25,28.9846660657
2.0894447311e-36,2.0638607250
4.0470220715e-35,2.1758531371
7.0138934861e-47,1.4765170487
1.4117832643e-33,2.3302422656
1.5062502586e-28,52.8836008822
1.8311865581e-36,2.0591797484
3.4008264399e-22,7.5008399236
2.9511983108e-25,28.8387946839
1.1633230485e-45,1.5255442660
6.7062286730e-39,1.8801933395
4.3082349737e-24,22.2955285606
7.5450130983e-28,3.2499792742
2.4507957324e-31,2.6071144703
3.8066214026e-22,11.3751349024
8.4339413990e-24,20.7495994088
4.0561502237e-40,307.5421497919
2.4064152985e-22,6.9758120065
4.2239238609e-22,10.9479091097
5.1302836968e-24,4.7930801672
1.7910823327e-24,4.4990850592
1.0032163504e-37,1.9619181031
3.1085089868e-23,5.4749186029
5.6910135839e-33,107.1876649108
9.7247376508e-30,64.4426985943
9.6218789850e-24,4.9994165880
2.0957050260e-30,71.7777616992
6.6121097204e-32,2.5295754206
1.8952389637e-28,3.1120783120
7.9597168316e-40,294.8447056751
1.1199193136e-27,3.2923130121
3.7243146819e-31,2.6330960277
1.3268780420e-38,1.9000756403
1.6813207681e-39,1.8412854538
9.3841788711e-23,6.1071060613
2.3046227357e-27,3.3734276168
2.6275239958e-39,1.8536425143
8.1698586877e-40,1.8216962611
5.4464540369e-46,1.5119474930
7.8824615025e-23,15.6586942344
1.6212553200e-30,2.7295839513
1.8709347071e-26,3.6414395537
5.3215166609e-34,2.2853425020
4.0414555841e-43,1.6401757558
2.9245847276e-25,4.0965965098
1.8664297011e-28,3.1106311027
3.0181054674e-22,7.2950652337
3.5883184752e-35,2.1710347062
1.8134994697e-42,1.6727434971
6.9684885283e-40,1.8174417948
2.8909931425e-45,640.7567133289
4.3388773581e-23,17.0362356807
4.7437811410e-48,1.4326205065
1.9267763458e-29,2.9130449698
1.0421803543e-43,1.6119545092
3.2701960286e-24,4.6604068038
9.1273721882e-29,54.8611964346
2.6315201464e-35,2.1587255457
7.9490786162e-44,1.6064427307
1.7812748459e-22,13.6619810372
9.4834415564e-23,6.1145238279
1.7326169407e-23,5.2202468337
2.1373410936e-30,2.7486761861
3.1605816659e-33,2.3689159072
3.5122153944e-39,1.8617752690
5.7919557224e-39,1.8759838033
2.4922354850e-24,4.5855165970
2.0167832186e-31,2.5952207754
7.4710302317e-28,3.2489406905
1.6599465830e-33,2.3378943742
3.5258432141e-34,2.2669958837
4.3933483200e-44,1.5945196958
1.7387177428e-22,6.6162493240
7.2183743442e-29,3.0240352528
2.8705971481e-23,5.4377459487
