likelihood_beta,beta
1.1372420000e-26,1.6046209992
2.0655656080e-26,3.1631183627
9.8218064808e-27,1.3424425715
1.0230908528e-26,1.4130890260
1.1875541307e-26,1.6869568013
3.6111215074e-27,8.7740761278
1.5547707841e-26,2.2710473747
1.0983864763e-26,1.5402398701
1.2486357243e-26,1.7856388906
1.5773821438e-26,2.3070280230
1.1958756655e-26,1.7004764649
1.6061083675e-26,2.3529079812
2.3501705171e-26,4.6860378494
1.2602891655e-26,1.8043342129
1.2593159223e-26,1.8027742874
1.2062965128e-26,1.7173710049
4.2079302676e-46,26.0420731836
3.4008455767e-35,18.8693847874
1.2283384100e-26,1.7529824595
1.1784720177e-26,1.6721713152
1.0238215649e-26,1.4143400945
1.1154689249e-26,1.5686373432
9.4960312473e-27,1.2852721143
1.1667997190e-26,1.6531209622
1.4635885740e-26,2.1267146265
1.2711303959e-26,1.8216938416
1.4102357006e-26,2.0424806550
1.0888984154e-26,1.5244005083
1.3876977278e-26,2.0068724329
9.5595004421e-27,1.2964781724
1.7896844933e-29,12.9827458683
1.2016584258e-26,1.7098564361
1.0439583794e-26,1.4486771295
1.6027250414e-26,2.3474932390
2.3410832883e-26,3.9821871536
9.2592259645e-27,7.4819512931
1.9753908241e-36,19.8499103690
1.6280688365e-26,2.3881347822
1.0809336228e-26,1.5110658913
2.3431169312e-26,3.9941716101
1.3018368397e-27,9.8402463650
1.1026832582e-26,1.5473970326
2.2045687786e-26,3.4875746822
1.2447531777e-26,1.7794017320
1.1819319270e-26,1.6778077561
1.6860756416e-26,2.4819869267
1.0212529325e-26,1.4099406756
2.3386534941e-26,3.9683325961
2.3730686523e-26,4.4291830787
1.3468033151e-26,1.9421490455
2.3579153014e-26,4.0967682710
1.3289094964e-26,1.9137615038
1.3257742952e-26,1.9087824743
1.6876982677e-26,2.4846317970
1.5526760676e-26,2.2677192304
1.6065597106e-26,2.3536305591
1.2085200858e-26,1.7209709215
5.4363293653e-27,8.2656135898
2.2970068677e-26,3.7785134101
1.2083939171e-26,1.7207667032
1.3648200341e-26,1.9706866621
3.1656591407e-32,16.1863119864
1.3245964170e-26,1.9069114506
2.1777288254e-26,3.4180016464
2.0917134383e-34,18.2072370502
1.0622693413e-26,1.4796760807
4.1723511934e-27,8.6014933791
1.2536430681e-27,9.8757157433
1.6261472433e-26,2.3850464686
8.0077677317e-46,25.8881661054
3.9113218020e-27,8.6795267638
1.3098682635e-26,1.8834953408
1.3430710280e-26,1.9362319316
1.4536831324e-26,2.1110749807
1.4191506047e-26,2.0565582645
1.1343875570e-26,1.5999164795
1.5941514855e-32,16.4824076276
1.2463263840e-28,11.7281001210
2.4279931427e-31,15.2596684488
1.4594401664e-26,2.1201643822
1.2038333803e-26,1.7133812198
