W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.373260,0.028462
2.000000,2.152308,0.063085
3.000000,2.855981,0.102524
4.000000,3.497270,0.144966
5.000000,4.084695,0.189301
6.000000,4.623053,0.234700
7.000000,5.115021,0.280482
8.000000,5.564831,0.326216
9.000000,5.974989,0.371507
10.000000,6.346968,0.415982
11.000000,6.685623,0.459565
12.000000,6.991711,0.501976
13.000000,7.270682,0.543320
14.000000,7.523342,0.583423
15.000000,7.750569,0.622139
16.000000,7.956861,0.659645
17.000000,8.141815,0.695752
18.000000,8.310212,0.730730
19.000000,8.464521,0.764694
20.000000,8.606495,0.797719
21.000000,8.735404,0.829662
22.000000,8.852525,0.860572
23.000000,8.960882,0.890683
24.000000,9.058787,0.919780
25.000000,9.148509,0.948045
26.000000,9.232848,0.975733
27.000000,9.308480,1.002465
28.000000,9.379370,1.028635
29.000000,9.446694,1.054356
30.000000,9.508892,1.079441
31.000000,9.568488,1.104162
32.000000,9.628526,1.128868
33.000000,9.688096,1.153464
34.000000,9.749270,1.178203
35.000000,9.806592,1.202432
36.000000,9.857344,1.225800
37.000000,9.905058,1.248724
38.000000,9.952618,1.271562
39.000000,9.999940,1.294310
40.000000,10.042418,1.316366
41.000000,10.081610,1.337921
42.000000,10.111970,1.358216
43.000000,10.136458,1.377618
44.000000,10.157177,1.396394
45.000000,10.173607,1.414457
46.000000,10.180900,1.431112
47.000000,10.181529,1.446673
48.000000,10.175307,1.461089
49.000000,10.162232,1.474333
50.000000,10.145596,1.486863
51.000000,10.128076,1.499065
52.000000,10.110433,1.511054
53.000000,10.092204,1.522764
54.000000,10.071411,1.533895
55.000000,10.045916,1.544114
56.000000,10.016987,1.553602
57.000000,9.990202,1.563220
58.000000,9.966300,1.573101
59.000000,9.943135,1.582916
60.000000,9.921807,1.592850
61.000000,9.898082,1.602229
62.000000,9.873684,1.611327
63.000000,9.847448,1.619953
64.000000,9.821703,1.628491
65.000000,9.793097,1.636384
66.000000,9.760076,1.643364
67.000000,9.721887,1.649288
68.000000,9.681208,1.654598
69.000000,9.638833,1.659425
70.000000,9.596010,1.663980
71.000000,9.552708,1.668262
72.000000,9.507085,1.671945
73.000000,9.458093,1.674841
74.000000,9.408887,1.677500
75.000000,9.360847,1.680174
76.000000,9.313832,1.682843
77.000000,9.264418,1.684892
78.000000,9.206204,1.685142
79.000000,9.145805,1.684783
80.000000,9.084862,1.684115
81.000000,9.020781,1.682655
82.000000,8.954251,1.680524
83.000000,8.885483,1.677755
84.000000,8.815549,1.674548
85.000000,8.747689,1.671519
86.000000,8.683059,1.668901
87.000000,8.618427,1.666081
88.000000,8.554974,1.663292
89.000000,8.491236,1.660254
90.000000,8.428012,1.657124
91.000000,8.367421,1.654325
92.000000,8.308944,1.651765
93.000000,8.255505,1.650037
94.000000,8.209877,1.649716
95.000000,8.169609,1.650333
96.000000,8.131205,1.651198
97.000000,8.098123,1.653022
98.000000,8.073441,1.656457
99.000000,8.056509,1.661395
100.000000,8.046960,1.667786
101.000000,8.041827,1.675035
102.000000,8.042610,1.683471
103.000000,8.047941,1.692824
104.000000,8.053708,1.702241
105.000000,8.057056,1.711116
106.000000,8.061397,1.720172
107.000000,8.069922,1.730094
108.000000,8.083941,1.741179
109.000000,8.100511,1.752807
110.000000,8.118779,1.764800
111.000000,8.143121,1.778119
112.000000,8.169988,1.792004
113.000000,8.200439,1.806695
114.000000,8.232018,1.821660
115.000000,8.267406,1.837497
116.000000,8.300736,1.852909
