likelihood_sigma,sigma
1.2023024446e-21,1.4763123013
9.1260957235e-22,1.7452345508
9.5579932717e-22,1.7168177899
5.7427828283e-22,1.9720255864
1.0885767237e-21,1.6208690271
1.2011817001e-21,1.4807611286
1.2025067873e-21,1.4297617731
1.0196537137e-21,1.6730264934
1.0323198190e-21,1.6639399106
1.1021774875e-21,1.6095008914
1.1970384295e-21,1.4933476818
1.1134566817e-21,1.5996604181
1.1582879371e-21,1.5546348416
1.1964062107e-21,1.4113406432
1.0916939162e-21,1.6183062135
1.8230870206e-22,2.4029723199
9.9841629185e-22,1.6879166516
1.1966531309e-21,1.4119177277
1.1706458128e-21,1.3718300181
1.1712519483e-21,1.5384832535
1.5346193876e-24,4.0296711893
1.2047496470e-21,1.4439129937
1.1838156104e-21,1.3887195074
3.5786346879e-22,2.1604703256
1.2050941143e-21,1.4506791513
2.3007601348e-37,29.7438126986
1.2006307519e-21,1.4228006665
1.1899223892e-21,1.3984330039
1.1948397850e-21,1.4987296013
7.6303175741e-22,1.8418502481
1.2050893451e-21,1.4542847363
1.2048349714e-21,1.4449816748
1.1917506227e-21,1.5054408774
1.2032037789e-21,1.4329968598
1.1440331254e-21,1.5703241342
1.2050927603e-21,1.4540989948
8.7712424861e-22,1.7682149856
1.2029587195e-21,1.4732915672
6.8879425627e-23,2.7324810720
1.0739691618e-21,1.6325849331
1.1594963114e-21,1.5532184596
2.4218120596e-25,4.7206440519
1.1854135324e-21,1.3911044275
4.2711893432e-22,2.0926440261
1.2049347385e-21,1.4464756256
1.1772989835e-21,1.5300255812
1.1893034009e-21,1.3973659113
1.0495832682e-21,1.6512524326
1.2039351689e-21,1.4677775426
1.0034755544e-21,1.6844045142
8.6308557910e-22,1.7772586545
1.1948772353e-21,1.4079407872
9.0693429813e-22,1.7489261729
2.7018354047e-22,2.2639575460
9.9978842164e-22,1.6869661243
1.1867803067e-21,1.3932249291
1.2006135403e-21,1.4227445985
1.1989253247e-21,1.4881378019
1.1962512331e-21,1.4109827285
1.1805667334e-21,1.5251119729
9.1678038256e-22,1.7425164896
1.2050403439e-21,1.4560348644
2.3019344853e-22,2.3212210982
1.7582163797e-22,2.4155310204
1.1967069658e-21,1.4120446914
1.1961595189e-21,1.4955736606
1.1924401665e-21,1.4030236164
1.2010092308e-21,1.4240626414
1.1947186074e-21,1.4990094810
5.4804427441e-24,3.5818937872
1.2048428854e-21,1.4450888508
1.2040193643e-21,1.4376869538
1.1205727369e-21,1.5932214159
7.0915546771e-22,1.8773860997
1.7395598296e-22,2.4192223604
1.1341326135e-21,1.5803468581
6.3396422899e-22,1.9288634413
1.1841670617e-21,1.5193418275
1.1694224858e-21,1.3704468992
1.2049370850e-21,1.4465154088
1.2000218566e-23,3.3150249138
1.1842454554e-21,1.3893516975
1.1727178995e-21,1.5364988123
1.1244504517e-21,1.5896266466
1.1789863339e-21,1.3820263771
1.1961512490e-21,1.4107535243
1.1986123961e-21,1.4168428141
1.1961124398e-21,1.4106649122
1.1309227939e-21,1.5834749597
1.1699966184e-21,1.3710929263
1.1663805422e-21,1.3671101959
1.1567857134e-21,1.5563742811
1.1881414848e-21,1.3954195400
1.1676818758e-21,1.5431643133
1.0718473820e-21,1.6342500695
1.2042000603e-21,1.4389514715
1.2042016935e-21,1.4658993203
1.1222449691e-21,1.5916790679
1.1745313782e-21,1.3763999638
1.2045514438e-21,1.4418459044
9.0447289285e-24,3.4106641215
1.1995583790e-21,1.4194954712
1.2033057033e-21,1.4715098141
1.1901948627e-21,1.3989098335
1.1907977725e-21,1.5073597473
1.0994667054e-21,1.6118068352
5.5873272165e-23,2.8021280203
1.1827935472e-21,1.3872422932
1.1748268601e-21,1.3767594547
1.2050683975e-21,1.4495350068
1.2043938457e-21,1.4643685543
1.2006212935e-21,1.4827520127
1.1842981601e-21,1.3894296736
1.2047203122e-21,1.4435759012
1.1593348861e-21,1.5534085849
1.1658384430e-21,1.5455051366
5.4724656897e-22,1.9924562673
7.0292195151e-22,1.8815585204
1.2050967235e-21,1.4508432437
1.1473869299e-21,1.5667825076
9.7906112387e-22,1.7011798758
1.1880921528e-21,1.5125062512
1.1928947863e-21,1.5030500193
8.3061749430e-22,1.7981415566
1.1597978635e-21,1.5528625271
1.0631813386e-21,1.6409652786
1.1034197086e-21,1.6084369668
1.1712060441e-21,1.3724718840
1.1763713890e-21,1.3786687690
1.1222429792e-21,1.5916809103
1.1906655717e-21,1.3997442824
1.1781905959e-21,1.3809869656
1.1855033446e-21,1.5170864953
1.1568538154e-21,1.5562959231
1.1585246298e-21,1.5543586357
1.1880803446e-21,1.5125278448
1.1700081425e-21,1.5401375668
1.0773328836e-21,1.6299271031
1.0551855694e-21,1.6470485701
8.1490732512e-22,1.8082539869
1.2033403849e-21,1.4336983210
1.1730846474e-21,1.5359962014
1.1252288923e-21,1.5888971205
1.2046987195e-21,1.4433359162
1.1674170601e-21,1.3682314417
1.1981867865e-21,1.4157142508
1.2023279787e-21,1.4762016825
1.2041771672e-21,1.4660826598
1.1892753213e-21,1.5103062199
1.2027364773e-21,1.4743593724
5.0308698179e-22,2.0272951040
1.2037595575e-21,1.4360426413
1.1990855330e-21,1.4181428479
1.0565669009e-21,1.6460048517
1.5371102519e-22,2.4618393143
1.0655592383e-21,1.6391358810
1.1905492126e-21,1.3995367178
1.1759739537e-21,1.3781725029
1.1920780608e-21,1.5047667997
1.1729733839e-21,1.3745334654
1.1824995351e-21,1.5220660738
1.1812364917e-21,1.3850574865
9.6279990619e-22,1.7121416052
3.9645582556e-22,2.1215127916
1.2051074168e-21,1.4527070453
1.1653965391e-21,1.3660599914
1.1832816897e-21,1.5208000749
1.1440093447e-21,1.5703489597
1.2037720888e-21,1.4688236935
1.1918674339e-21,1.5052013011
1.1611489684e-21,1.5512552478
6.9411182031e-24,3.5008368400
1.2031184528e-21,1.4724903314
6.9087602183e-23,2.7314752553
1.2041963694e-21,1.4659393255
1.2040605251e-21,1.4379650443
1.1997447995e-21,1.4200449012
1.1993792338e-21,1.4867746634
1.2028040835e-21,1.4740399268
1.1828036460e-21,1.5215762405
1.1343101571e-21,1.5801722290
1.1910314564e-21,1.5068948096
1.1985326173e-21,1.4892788522
9.2920504665e-22,1.7343907641
1.1978171613e-21,1.4147626890
1.1768527016e-21,1.5306760694
1.2047882954e-21,1.4443791013
1.2043474986e-21,1.4647547427
3.9978979232e-22,2.1182913207
1.1976777467e-21,1.4916550339
1.2028246835e-21,1.4311743269
1.1787935851e-21,1.3817731196
1.1551531053e-21,1.5582390692
9.2822702873e-22,1.7350320802
1.1492689775e-21,1.5647581545
1.1359197446e-21,1.5785810914
9.3779779963e-22,1.7287424318
1.1026761847e-21,1.6090743273
9.3518071085e-22,1.7304654541
1.0519142211e-21,1.6495089044
3.6070137674e-22,2.1574929719
9.9874681090e-22,1.6876878222
5.0482368249e-22,2.0258866845
1.1897202487e-21,1.3980821017
1.1863835418e-21,1.3926011910
7.3374640017e-22,1.8610591364
1.2001442047e-21,1.4212559417
1.2026049216e-21,1.4749684878
8.1076127622e-22,1.8109257256
1.2051078971e-21,1.4521673544
1.1477669974e-21,1.5663759132
1.0921493700e-21,1.6179297442
1.1750032227e-21,1.3769748860
1.1935611707e-21,1.4052186545
1.2003250819e-21,1.4218207587
1.2051066600e-21,1.4518189646
1.1950250983e-21,1.4982985534
5.0776000314e-25,4.4369664267
1.0302232289e-21,1.6654559902
1.1902412823e-21,1.3989915144
8.0818674327e-22,1.8125855807
1.7846760562e-22,2.4103575655
1.2020830633e-21,1.4772432008
1.1900182649e-21,1.3986002798
7.0644473224e-22,1.8791987449
1.1004485643e-21,1.6109740670
1.0944680609e-21,1.6160049469
3.9101032027e-24,3.6987474923
