x1,x2,y_krig,mse
1.947206,-0.526494,1.140863,0.0188363735
1.573220,-0.606234,0.179614,0.0002889111
-1.371193,0.807595,0.562566,0.0123107224
-1.191830,0.350323,1.390894,0.0177776155
-1.601243,-0.978590,3.640701,0.0110182927
-0.434038,-0.749422,0.245722,0.0189371393
-0.626189,-0.486829,0.918760,0.0147250561
0.010790,-0.937572,-0.561386,0.0007811806
0.754467,0.582343,1.643690,0.0266003459
-1.255695,-0.711884,2.528328,0.0068744238
-0.023901,0.996834,-0.229477,0.0042973433
-1.918778,0.764163,0.735547,0.0010618484
0.848486,0.717105,2.007385,0.0230454375
-1.290635,0.629869,0.630960,0.0225970174
0.943980,-0.220079,1.799466,0.0056499571
1.374765,0.362152,2.384429,0.0018294858
1.794219,0.214479,2.977308,0.0063077125
-0.490128,-0.026419,0.670682,0.0221139600
0.127340,0.310631,-0.210247,0.0183975732
0.249599,0.488556,-0.296048,0.0102085731
-0.745846,-0.459853,1.381052,0.0190349836
-1.955707,0.888061,0.818292,0.0048488630
-1.827558,-0.302849,2.660244,0.0177834624
0.992206,0.529025,2.122095,0.0284607937
-0.356233,0.724303,-0.458451,0.0146747597
1.919665,0.052222,2.728287,0.0017490126
-1.599477,-0.087095,2.472543,0.0232024902
1.046694,-0.854856,1.105507,0.0093857898
0.340218,0.094771,0.303092,0.0176890613
0.419438,0.252918,0.413369,0.0082500278
1.146371,0.844228,2.404297,0.0021324185
-0.156131,0.643804,-0.544955,0.0225028707
-0.810006,-0.898737,1.555221,0.0047507781
0.504523,-0.167039,0.530041,0.0139795494
-0.285549,0.166284,0.131946,0.0049966844
-1.469850,0.921111,0.645411,0.0042414122
1.325734,-0.256892,1.483915,0.0110364506
-0.904347,-0.791998,1.820380,0.0040671058
-1.011869,-0.570360,2.134393,0.0178797319
1.698730,0.478843,3.317687,0.0206200216
0.639767,-0.056030,1.175493,0.0085125765
0.656505,-0.327076,0.688322,0.0061626844
-1.065003,-0.817047,2.248385,0.0087829019
-0.671805,-0.140740,1.295242,0.0287584728
1.654197,-0.651351,0.150233,0.0016487621
0.163747,-0.377332,-0.402429,0.0094363025
-0.222669,0.005391,0.148193,0.0035089582
1.252524,0.407496,2.276451,0.0105945603
-1.690517,0.148913,2.252566,0.0201323574
1.484701,-0.418419,0.718993,0.0095903643
