W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.428219,0.195720
2.000000,2.286597,0.443144
3.000000,3.070797,0.728873
4.000000,3.766069,1.032187
5.000000,4.376807,1.341166
6.000000,4.922786,1.652444
7.000000,5.408623,1.960992
8.000000,5.837863,2.262763
9.000000,6.210984,2.553418
10.000000,6.528895,2.829306
11.000000,6.781281,3.082111
12.000000,6.961201,3.304570
13.000000,7.068816,3.492678
14.000000,7.097116,3.639034
15.000000,7.040912,3.736928
16.000000,6.915431,3.790700
17.000000,6.734149,3.804936
18.000000,6.510290,3.785095
19.000000,6.250754,3.733786
20.000000,5.983052,3.666722
21.000000,5.712950,3.587651
22.000000,5.429486,3.489878
23.000000,5.134030,3.374135
24.000000,4.810630,3.229593
25.000000,4.448755,3.048237
26.000000,4.074940,2.847397
27.000000,3.699603,2.634372
28.000000,3.332062,2.416197
29.000000,2.985578,2.203269
30.000000,2.673081,2.006379
31.000000,2.395185,1.827511
32.000000,2.170583,1.682642
33.000000,1.995697,1.571056
34.000000,1.855669,1.482792
35.000000,1.754317,1.422271
36.000000,1.704191,1.401231
