likelihood_beta,beta
1.9216947257e-37,17.7527060827
2.5570660103e-37,21.3565234591
2.6109579760e-37,21.7286144985
2.6356460287e-37,21.9067186679
1.8427516413e-37,17.3442106114
2.7095973046e-37,22.4776492460
2.7710421420e-37,23.0112970815
2.0796552512e-37,18.5801116486
1.6481955812e-37,16.3384899447
2.0322938784e-37,18.3299883865
2.9015054345e-37,24.5484267932
2.0224231683e-37,18.2781188593
2.5591562152e-37,21.3705765891
2.8541665562e-37,23.8857865038
2.8653867491e-37,24.0265565901
2.7928892255e-37,29.4667935760
2.8351195001e-37,29.0239011651
2.8556062421e-37,23.9034249975
2.6659286238e-37,22.1330303393
1.8899318955e-37,17.5881197132
2.0298993237e-37,18.3173976803
2.9395966071e-37,27.3368334015
2.9545454366e-37,26.6872891052
2.9228699053e-37,24.9415581934
2.9555432750e-37,26.0971979857
2.3235210008e-37,19.9188260536
2.3711791541e-37,20.1954557659
2.8779130835e-37,24.1938600294
2.0024918137e-37,18.1736218134
2.7394570940e-37,22.7286194374
2.9558082799e-37,26.5557795545
2.1335827459e-37,18.8678791582
2.5200276138e-37,21.1119307061
2.1403123286e-37,18.9040467897
1.6656625949e-37,16.4291446228
1.2585660439e-37,14.2480465906
2.2750398304e-37,19.6436152340
1.8785784255e-37,17.5293735972
2.7930997957e-37,23.2217418934
2.8274176172e-37,23.5770196665
2.5265781418e-37,21.1546061143
1.0437080127e-37,12.9881549566
1.5432775809e-37,15.7904529732
1.0090749651e-37,12.7734702746
2.6043895094e-37,21.6820990627
2.6309339184e-37,21.8723075126
2.8841538779e-37,24.2819812260
2.9161541776e-37,27.8790445120
2.9564589027e-37,26.2567712900
2.7909710544e-37,23.2008923219
2.8788055176e-37,24.2062502239
2.3279587322e-37,19.9443139872
2.6876596872e-37,22.3015499513
2.7229908084e-37,22.5884849488
2.8867856424e-37,24.3202331441
1.6488252802e-37,16.3417604262
2.6791338778e-37,22.2347738329
2.5000051342e-37,20.9829226584
2.5962566245e-37,21.6249803369
2.8693599124e-37,24.0783620168
2.4222146069e-37,20.4996436305
2.9479159028e-37,27.0525691189
2.9380881364e-37,25.3063336739
2.9346613979e-37,27.4724185505
2.8578586540e-37,28.7552062317
2.7325809661e-37,22.6695538524
2.9309334593e-37,25.1214358831
2.8078522624e-37,23.3697890052
2.2021601730e-37,19.2395779769
2.9358294185e-37,25.2446454467
2.9318038040e-37,27.5440387280
