likelihood_theta2,theta2
9.1717059955e-38,4.8474731555
3.6807054769e-37,4.6624591930
2.0798442032e-36,4.4028892362
3.4793214864e-36,4.3163641985
1.2266735456e-37,4.8100334099
3.5082076705e-38,4.9672807596
4.7985277622e-37,4.6251594053
5.6990552078e-37,4.6005638745
3.2025168048e-37,4.6817463064
1.5289618750e-36,4.4521797929
7.5242864014e-38,4.8726305961
2.9676027303e-37,4.6922249182
3.4467387034e-37,4.6715849037
4.6231794595e-38,4.9334477167
3.9691101581e-38,4.9522016721
3.8390680269e-38,4.9562795250
9.4579513520e-38,4.8435442365
3.6105629695e-38,4.9637752029
2.9458545204e-38,4.9884799199
1.1776234771e-37,4.8153245900
1.0177189690e-36,4.5150119908
2.4698665106e-36,4.3745998666
5.2217401678e-37,4.6131138196
1.3674968425e-36,4.4696620878
3.7398476596e-38,4.9594804939
1.4259923812e-36,4.4631244522
1.7424083198e-37,4.7640043700
2.8001377856e-38,4.9946049925
8.4187616194e-37,4.5434743277
8.4467701732e-37,4.5429801153
4.3291427030e-37,4.6397249373
5.8308743727e-37,4.5972686136
7.2079896494e-38,4.8780531828
1.9017021497e-37,4.7523790657
6.0621098026e-38,4.8997935682
1.7796918221e-37,4.7611965926
3.8784636792e-38,4.9550304186
3.3843370030e-38,4.9716562004
2.1890886337e-37,4.7335426940
3.2618813948e-36,4.3275314412
2.4827119288e-36,4.3737369890
4.1287391189e-37,4.6463936894
1.7728664271e-37,4.7617064509
3.1801615675e-36,4.3318955205
4.9133616121e-37,4.6217969715
5.7057691032e-36,4.2272073812
3.0192154604e-38,4.9855050893
4.0477564891e-38,4.9497968897
3.5439156698e-37,4.6677267852
1.3130867147e-37,4.8011792677
7.8718548862e-38,4.8669156734
4.3671812659e-38,4.9404669086
4.6521486115e-38,4.9326768706
2.6441023597e-37,4.7079971640
2.6879550087e-37,4.7057569485
4.6195351599e-37,4.6305516254
6.8864267026e-37,4.5731055671
2.0428542899e-37,4.7428171286
1.6221993343e-37,4.7734578494
9.0100903273e-37,4.5333446319
2.7883890105e-37,4.7007520694
2.9526066216e-38,4.9882031758
3.6580300587e-37,4.6633196934
5.9061638900e-37,4.5954171140
2.7829766425e-37,4.7010174625
4.0705130751e-37,4.6483874691
8.7877746221e-37,4.5370799253
7.0353541285e-37,4.5699741778
1.0824003025e-37,4.8262187914
1.4049730212e-37,4.7923474067
3.9040207947e-37,4.6542378553
