tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.857258,0.023747
2.000000,0.758617,0.038659
3.000000,0.677042,0.049835
4.000000,0.613082,0.058363
5.000000,0.535245,0.069271
6.000000,0.464901,0.079237
7.000000,0.394678,0.088881
8.000000,0.330512,0.096898
9.000000,0.280113,0.102713
10.000000,0.242404,0.106636
11.000000,0.203469,0.110247
12.000000,0.184010,0.111507
13.000000,0.186731,0.110777
14.000000,0.176835,0.110844
15.000000,0.162048,0.111080
16.000000,0.150459,0.111501
17.000000,0.140585,0.112386
18.000000,0.133444,0.113674
19.000000,0.120885,0.115947
20.000000,0.115953,0.118722
21.000000,0.111331,0.122281
22.000000,0.101482,0.126528
23.000000,0.091247,0.130535
24.000000,0.073564,0.133802
25.000000,0.045740,0.135706
26.000000,0.024207,0.135772
27.000000,0.015131,0.133822
28.000000,0.003401,0.130741
29.000000,-0.017734,0.128584
30.000000,-0.035656,0.126855
31.000000,-0.028017,0.125132
32.000000,-0.035055,0.124359
33.000000,-0.030408,0.123692
34.000000,-0.020857,0.122995
35.000000,-0.015029,0.122306
36.000000,-0.031072,0.121992
37.000000,-0.040638,0.121333
38.000000,-0.037398,0.120168
39.000000,-0.034956,0.118912
40.000000,-0.032398,0.117848
41.000000,-0.004648,0.116636
42.000000,0.004918,0.116462
43.000000,0.028231,0.115924
44.000000,0.050569,0.115259
45.000000,0.097053,0.113763
46.000000,0.114651,0.112891
47.000000,0.148755,0.111389
48.000000,0.180762,0.109878
49.000000,0.200208,0.108870
50.000000,0.200508,0.108750
51.000000,0.205152,0.108656
52.000000,0.210024,0.108744
53.000000,0.209522,0.109241
54.000000,0.194138,0.110403
