tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.783687,0.032135
2.000000,0.658902,0.049085
3.000000,0.557264,0.061523
4.000000,0.503758,0.067586
5.000000,0.421945,0.077908
6.000000,0.365040,0.085257
7.000000,0.297236,0.093207
8.000000,0.256327,0.097415
9.000000,0.229504,0.099494
10.000000,0.209894,0.100206
11.000000,0.186656,0.100960
12.000000,0.176502,0.100587
13.000000,0.179683,0.098051
14.000000,0.183466,0.096336
15.000000,0.166976,0.096452
16.000000,0.162366,0.096342
17.000000,0.162647,0.096447
18.000000,0.146412,0.097148
19.000000,0.137190,0.097613
20.000000,0.122621,0.098949
21.000000,0.108630,0.100865
22.000000,0.110568,0.102362
23.000000,0.102650,0.104001
24.000000,0.096725,0.104666
25.000000,0.058668,0.104747
26.000000,0.019655,0.105407
27.000000,0.018657,0.104633
28.000000,0.027273,0.103910
29.000000,0.013090,0.104156
30.000000,-0.013943,0.104650
31.000000,0.003457,0.104176
32.000000,-0.004860,0.104280
33.000000,0.012804,0.103812
34.000000,0.039481,0.103167
35.000000,0.039344,0.102967
36.000000,0.012000,0.102971
37.000000,-0.013661,0.102898
38.000000,-0.014397,0.102892
39.000000,-0.011869,0.102854
40.000000,-0.021613,0.102948
41.000000,-0.011342,0.102843
42.000000,-0.011997,0.102853
43.000000,0.020376,0.102506
44.000000,0.032680,0.102348
45.000000,0.069992,0.101869
46.000000,0.069011,0.101851
47.000000,0.109697,0.101322
48.000000,0.143325,0.100992
