tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.873552,0.021344
2.000000,0.778694,0.035865
3.000000,0.701432,0.046552
4.000000,0.634213,0.055652
5.000000,0.556859,0.066531
6.000000,0.484510,0.076830
7.000000,0.415958,0.086436
8.000000,0.346216,0.095309
9.000000,0.289314,0.101966
10.000000,0.247806,0.106322
11.000000,0.205017,0.110148
12.000000,0.178818,0.111783
13.000000,0.176560,0.111320
14.000000,0.165073,0.111431
15.000000,0.152101,0.111623
16.000000,0.139857,0.112342
17.000000,0.129110,0.113725
18.000000,0.121729,0.115802
19.000000,0.107769,0.118976
20.000000,0.104740,0.122526
21.000000,0.102944,0.126672
22.000000,0.091452,0.131264
23.000000,0.076533,0.135385
24.000000,0.052529,0.138532
25.000000,0.025038,0.140140
26.000000,0.007490,0.139887
27.000000,-0.006428,0.137881
28.000000,-0.022882,0.134681
29.000000,-0.044108,0.132149
30.000000,-0.061979,0.130054
31.000000,-0.056430,0.128175
32.000000,-0.060441,0.127108
33.000000,-0.056934,0.126340
34.000000,-0.048536,0.125642
35.000000,-0.038187,0.124859
36.000000,-0.048307,0.124326
37.000000,-0.050757,0.123514
38.000000,-0.042419,0.122338
39.000000,-0.035231,0.121097
40.000000,-0.025211,0.120018
41.000000,0.007676,0.118827
42.000000,0.021708,0.118533
43.000000,0.046062,0.117903
44.000000,0.069331,0.117118
45.000000,0.107374,0.115739
46.000000,0.128926,0.114658
47.000000,0.152855,0.113417
48.000000,0.181875,0.111958
49.000000,0.202070,0.110877
50.000000,0.206747,0.110561
51.000000,0.214723,0.110318
52.000000,0.221673,0.110329
53.000000,0.220469,0.110879
54.000000,0.210400,0.111932
