W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.357258,0.114100
2.000000,2.115875,0.251551
3.000000,2.792916,0.406668
4.000000,3.405998,0.572659
5.000000,3.941243,0.740867
6.000000,4.406144,0.907311
7.000000,4.800822,1.067791
8.000000,5.131334,1.220105
9.000000,5.411447,1.364761
10.000000,5.653851,1.503025
11.000000,5.857320,1.633116
12.000000,6.041330,1.759320
13.000000,6.228061,1.887758
14.000000,6.404896,2.014642
15.000000,6.566944,2.138113
16.000000,6.717402,2.258828
17.000000,6.857987,2.377075
18.000000,6.991432,2.493585
19.000000,7.112316,2.606211
20.000000,7.228269,2.717510
21.000000,7.339600,2.827508
22.000000,7.441082,2.934062
23.000000,7.532329,3.036792
24.000000,7.605893,3.132403
25.000000,7.651633,3.216221
26.000000,7.675840,3.290291
27.000000,7.690971,3.359579
28.000000,7.694372,3.422741
29.000000,7.676638,3.475297
30.000000,7.640982,3.518290
31.000000,7.612965,3.563333
32.000000,7.577910,3.603680
33.000000,7.547502,3.644870
34.000000,7.526645,3.689459
35.000000,7.511617,3.735848
36.000000,7.480545,3.773169
37.000000,7.439907,3.804435
38.000000,7.402509,3.836123
39.000000,7.367553,3.867919
40.000000,7.335156,3.899969
41.000000,7.330508,3.945915
42.000000,7.335426,3.996426
43.000000,7.363657,4.059285
44.000000,7.414226,4.134414
45.000000,7.511279,4.235863
46.000000,7.625930,4.348040
47.000000,7.774685,4.480779
48.000000,7.955448,4.633477
49.000000,8.155656,4.799309
50.000000,8.356164,4.967224
51.000000,8.561316,5.139814
52.000000,8.771340,5.317278
53.000000,8.980862,5.496392
54.000000,9.175000,5.667933
