W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.283687,0.107915
2.000000,1.942589,0.230950
3.000000,2.499852,0.363996
4.000000,3.003610,0.505005
5.000000,3.425555,0.643929
6.000000,3.790595,0.780557
7.000000,4.087832,0.909209
8.000000,4.344159,1.032934
9.000000,4.573663,1.153472
10.000000,4.783557,1.271665
11.000000,4.970212,1.385776
12.000000,5.146714,1.498796
13.000000,5.326397,1.614459
14.000000,5.509863,1.733112
15.000000,5.676839,1.848306
16.000000,5.839205,1.963521
17.000000,6.001852,2.080327
18.000000,6.148264,2.192858
19.000000,6.285455,2.303219
20.000000,6.408075,2.409153
21.000000,6.516706,2.510496
22.000000,6.627273,2.613172
23.000000,6.729924,2.713288
24.000000,6.826649,2.811480
25.000000,6.885317,2.894114
26.000000,6.904971,2.959854
27.000000,6.923629,3.024387
28.000000,6.950902,3.092017
29.000000,6.963992,3.152674
30.000000,6.950048,3.200149
31.000000,6.953506,3.254666
32.000000,6.948646,3.304433
33.000000,6.961449,3.361851
34.000000,7.000931,3.431761
35.000000,7.040274,3.501429
36.000000,7.052274,3.557150
37.000000,7.038613,3.599231
38.000000,7.024216,3.640084
39.000000,7.012347,3.681438
40.000000,6.990734,3.716846
41.000000,6.979393,3.756915
42.000000,6.967396,3.795919
43.000000,6.987772,3.852075
44.000000,7.020452,3.914832
45.000000,7.090444,3.998540
46.000000,7.159454,4.082072
47.000000,7.269152,4.189425
48.000000,7.412477,4.317236
