W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.194028,0.014704
2.000000,1.703259,0.029664
3.000000,2.082897,0.044429
4.000000,2.369618,0.058364
5.000000,2.577505,0.070977
6.000000,2.732506,0.082427
7.000000,2.841656,0.092588
8.000000,2.921168,0.101750
9.000000,2.980056,0.110098
10.000000,3.022313,0.117699
11.000000,3.051082,0.124619
12.000000,3.080665,0.131422
13.000000,3.109259,0.138058
14.000000,3.138671,0.144625
15.000000,3.162952,0.150859
16.000000,3.184440,0.156865
17.000000,3.203886,0.162680
18.000000,3.218954,0.168184
19.000000,3.233850,0.173592
20.000000,3.241368,0.178516
21.000000,3.252682,0.183563
22.000000,3.271833,0.188989
23.000000,3.299179,0.194851
24.000000,3.327720,0.200764
25.000000,3.356846,0.206697
26.000000,3.389338,0.212831
27.000000,3.428479,0.219390
28.000000,3.467023,0.225928
29.000000,3.507244,0.232594
30.000000,3.554498,0.239758
31.000000,3.606557,0.247290
32.000000,3.661201,0.255054
33.000000,3.714922,0.262809
34.000000,3.762115,0.270150
35.000000,3.802851,0.277062
36.000000,3.843494,0.283995
37.000000,3.878753,0.290554
38.000000,3.904460,0.296406
39.000000,3.923397,0.301737
40.000000,3.940770,0.306934
41.000000,3.949283,0.311418
42.000000,3.952834,0.315476
43.000000,3.955276,0.319407
44.000000,3.958916,0.323397
45.000000,3.965027,0.327556
46.000000,3.969100,0.331516
47.000000,3.973534,0.335475
48.000000,3.977833,0.339391
49.000000,3.981313,0.343209
50.000000,3.985407,0.347050
51.000000,3.989762,0.350886
52.000000,3.995355,0.354806
