W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.180422,0.014537
2.000000,1.690911,0.029449
3.000000,2.070908,0.044173
4.000000,2.355047,0.058005
5.000000,2.561158,0.070527
6.000000,2.714904,0.081896
7.000000,2.814757,0.091711
8.000000,2.883081,0.100424
9.000000,2.931326,0.108298
10.000000,2.962758,0.115380
11.000000,2.982837,0.121832
12.000000,3.002956,0.128107
13.000000,3.023478,0.134249
14.000000,3.048742,0.140481
15.000000,3.078005,0.146808
16.000000,3.110327,0.153214
17.000000,3.139521,0.159412
18.000000,3.165777,0.165406
19.000000,3.194291,0.171469
20.000000,3.213571,0.176985
21.000000,3.235292,0.182582
22.000000,3.266475,0.188679
23.000000,3.301786,0.195005
24.000000,3.331650,0.201001
25.000000,3.358606,0.206806
26.000000,3.393508,0.213093
27.000000,3.438230,0.220014
28.000000,3.486156,0.227175
29.000000,3.536696,0.234547
30.000000,3.593343,0.242378
31.000000,3.658972,0.250884
32.000000,3.723288,0.259379
33.000000,3.786759,0.267891
34.000000,3.842498,0.275922
35.000000,3.887536,0.283232
36.000000,3.928544,0.290280
37.000000,3.964304,0.296962
38.000000,3.987488,0.302709
39.000000,4.002464,0.307818
40.000000,4.015107,0.312724
41.000000,4.022753,0.317212
42.000000,4.024561,0.321201
43.000000,4.025681,0.325093
44.000000,4.023709,0.328690
45.000000,4.024195,0.332444
46.000000,4.021477,0.335891
47.000000,4.020678,0.339455
48.000000,4.020645,0.343044
49.000000,4.021307,0.346656
50.000000,4.024604,0.350463
51.000000,4.028433,0.354287
52.000000,4.033709,0.358212
