x1,x2,y,mse
0.058040,0.290280,-0.359366,0.0071314830
-0.445014,-0.850367,0.320352,0.0061368502
1.978422,0.956880,4.531879,0.0307899811
-1.579884,0.915870,0.481160,0.0045452970
0.434301,0.068692,0.741774,0.0064996935
0.555719,0.233067,0.982733,0.0067863986
1.382646,-0.791212,0.331795,0.0109234830
-0.190554,-0.091056,0.100020,0.0059041091
0.200794,-0.413280,-0.621496,0.0101545106
-1.452207,-0.334936,2.437287,0.0069922405
1.077019,0.018593,2.160876,0.0096469974
1.863364,0.712642,3.823015,0.0078716701
1.797940,0.859052,3.962442,0.0193491829
1.256865,0.427001,2.207994,0.0053827963
-1.134565,-0.377294,2.243054,0.0026612543
-1.358087,0.111132,2.305591,0.0080717221
-1.811552,-0.209771,3.088017,0.0076787834
-0.892811,0.192308,1.778773,0.0020981819
-0.320214,-0.962465,0.239431,0.0103578578
-0.583383,0.594770,-0.154229,0.0035291871
-0.282271,0.784153,-0.699773,0.0092642039
-0.769805,-0.554408,1.280136,0.0073948222
-0.836526,0.610918,0.183284,0.0071222876
-0.651173,-0.734208,0.886368,0.0046959717
0.716797,0.133575,1.571554,0.0073534861
0.349630,-0.948372,-0.156304,0.0100059173
1.036198,0.254556,2.069185,0.0081295495
1.566319,0.549995,2.789686,0.0090430069
-0.483169,-0.653339,0.215978,0.0075494335
-1.405513,0.803462,0.080859,0.0043372227
-1.253050,-0.880531,2.760024,0.0118519801
-1.041084,-0.073606,2.533821,0.0072062335
0.863106,0.502355,1.465493,0.0120194756
0.100362,0.383986,-0.455476,0.0063845280
0.781622,-0.029369,1.719115,0.0019877812
1.331590,0.963089,3.165039,0.0149738810
-1.900910,-0.297313,3.128226,0.0087675709
-1.963081,0.321831,2.375073,0.0101756804
1.445181,-0.637952,0.278805,0.0042452808
0.579655,0.443972,0.714208,0.0054312334
-0.971269,-0.687859,1.773438,0.0060518937
-0.155795,-0.260646,-0.215130,0.0079669179
-1.751532,-0.588348,2.339408,0.0043694294
1.700649,-0.146600,1.855097,0.0027194044
0.247020,-0.445403,-0.620083,0.0092520934
0.054645,0.640726,-0.813079,0.0095799357
0.937614,-0.197194,1.681176,0.0052990783
-1.656448,-0.488288,2.297572,0.0095829691
1.196675,0.721650,2.285382,0.0024067941
1.613998,-0.818209,0.032364,0.0056237080
