tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.703168,0.004595
2.000000,0.528154,0.006996
3.000000,0.396968,0.008709
4.000000,0.321865,0.009594
5.000000,0.265938,0.010163
6.000000,0.230317,0.010466
7.000000,0.202637,0.010654
8.000000,0.180514,0.010781
9.000000,0.160091,0.010865
10.000000,0.144397,0.010881
11.000000,0.130857,0.010850
12.000000,0.123700,0.010796
13.000000,0.107005,0.010854
14.000000,0.101392,0.010844
15.000000,0.092910,0.010849
16.000000,0.089275,0.010820
17.000000,0.086861,0.010798
18.000000,0.075833,0.010815
19.000000,0.070322,0.010801
20.000000,0.064605,0.010775
21.000000,0.059046,0.010767
22.000000,0.043190,0.010829
23.000000,0.035930,0.010875
24.000000,0.031467,0.010894
25.000000,0.029603,0.010875
26.000000,0.034808,0.010820
27.000000,0.028966,0.010793
28.000000,0.029430,0.010763
29.000000,0.028828,0.010754
30.000000,0.026676,0.010763
31.000000,0.022595,0.010756
32.000000,0.019577,0.010755
33.000000,0.021942,0.010751
34.000000,0.020621,0.010748
35.000000,0.016063,0.010774
36.000000,0.016376,0.010793
37.000000,0.016668,0.010780
38.000000,0.015462,0.010766
39.000000,0.009894,0.010775
40.000000,0.006072,0.010780
41.000000,0.002002,0.010784
42.000000,0.001711,0.010783
43.000000,0.000843,0.010783
44.000000,0.002513,0.010780
45.000000,0.007256,0.010776
46.000000,0.010087,0.010774
47.000000,0.011932,0.010772
48.000000,0.013280,0.010771
49.000000,0.012636,0.010773
50.000000,0.009211,0.010775
51.000000,0.009647,0.010775
52.000000,0.005748,0.010778
53.000000,0.001680,0.010779
54.000000,-0.000104,0.010780
55.000000,-0.000586,0.010780
56.000000,-0.002191,0.010779
57.000000,-0.004032,0.010780
58.000000,-0.002563,0.010780
59.000000,0.001611,0.010779
60.000000,0.004177,0.010779
61.000000,0.001271,0.010779
62.000000,-0.000899,0.010779
63.000000,-0.005618,0.010779
64.000000,-0.000929,0.010779
65.000000,-0.000493,0.010779
66.000000,-0.000022,0.010779
67.000000,-0.001255,0.010779
68.000000,-0.005567,0.010779
69.000000,-0.003150,0.010779
70.000000,-0.000848,0.010779
71.000000,0.007611,0.010779
72.000000,0.007278,0.010779
73.000000,0.002887,0.010779
74.000000,0.002146,0.010779
75.000000,-0.000381,0.010779
76.000000,-0.004078,0.010779
