x1,x2,y_krig,mse
   -1.000000       4.008793
     -2.000000      -0.979798       3.883672
     -2.000000      -0.959596       3.763224
     -2.000000      -0.939394       3.647917
     -2.000000      -0.919192       3.538191
     -2.000000      -0.898990       3.434454
     -2.000000      -0.878788       3.337081
     -2.000000      -0.858586       3.246408
     -2.000000      -0.838384       3.162734
     -2.000000      -0.818182       3.086314
     -2.000000      -0.797980       3.017359
     -2.000000      -0.777778       2.956036
     -2.000000      -0.757576       2.902463
     -2.000000      -0.737374       2.856711
     -2.000000      -0.717172       2.818800
     -2.000000      -0.696970       2.788704
     -2.000000      -0.676768       2.766343
     -2.000000      -0.656566       2.751589
     -2.000000      -0.636364       2.744266
     -2.000000      -0.616162       2.744148
     -2.000000      -0.595960       2.750964
     -2.000000      -0.575758       2.764397
     -2.000000      -0.555556       2.784086
     -2.000000      -0.535354       2.809631
     -2.000000      -0.515152       2.840591
     -2.000000      -0.494949       2.876491
     -2.000000      -0.474747       2.916825
     -2.000000      -0.454545       2.961057
     -2.000000      -0.434343       3.008625
     -2.000000      -0.414141       3.058948
     -2.000000      -0.393939       3.111426
     -2.000000      -0.373737       3.165448
     -2.000000      -0.353535       3.220392
     -2.000000      -0.333333       3.275634
     -2.000000      -0.313131       3.330549
     -2.000000      -0.292929       3.384519
     -2.000000      -0.272727       3.436933
     -2.000000      -0.252525       3.487195
     -2.000000      -0.232323       3.534726
     -2.000000      -0.212121       3.578972
     -2.000000      -0.191919       3.619401
     -2.000000      -0.171717       3.655515
     -2.000000      -0.151515       3.686848
     -2.000000      -0.131313       3.712972
     -2.000000      -0.111111       3.733500
     -2.000000      -0.090909       3.748086
     -2.000000      -0.070707       3.756433
     -2.000000      -0.050505       3.758288
     -2.000000      -0.030303       3.753451
     -2.000000      -0.010101       3.741772
     -2.000000       0.010101       3.723152
     -2.000000       0.030303       3.697547
     -2.000000       0.050505       3.664965
     -2.000000       0.070707       3.625467
     -2.000000       0.090909       3.579166
     -2.000000       0.111111       3.526229
     -2.000000       0.131313       3.466870
     -2.000000       0.151515       3.401353
     -2.000000       0.171717       3.329991
     -2.000000       0.191919       3.253138
     -2.000000       0.212121       3.171190
     -2.000000       0.232323       3.084585
     -2.000000       0.252525       2.993794
     -2.000000       0.272727       2.899319
     -2.000000       0.292929       2.801693
     -2.000000       0.313131       2.701472
     -2.000000       0.333333       2.599233
     -2.000000       0.353535       2.495571
     -2.000000       0.373737       2.391091
     -2.000000       0.393939       2.286407
     -2.000000       0.414141       2.182137
     -2.000000       0.434343       2.078899
     -2.000000       0.454545       1.977304
     -2.000000       0.474747       1.877956
     -2.000000       0.494949       1.781448
     -2.000000       0.515152       1.688352
     -2.000000       0.535354       1.599223
     -2.000000       0.555556       1.514590
     -2.000000       0.575758       1.434956
     -2.000000       0.595960       1.360792
     -2.000000       0.616162       1.292539
     -2.000000       0.636364       1.230599
     -2.000000       0.656566       1.175336
     -2.000000       0.676768       1.127077
     -2.000000       0.696970       1.086105
     -2.000000       0.717172       1.052660
     -2.000000       0.737374       1.026940
     -2.000000       0.757576       1.009095
     -2.000000       0.777778       0.999234
     -2.000000       0.797980       0.997418
     -2.000000       0.818182       1.003665
     -2.000000       0.838384       1.017948
     -2.000000       0.858586       1.040196
     -2.000000       0.878788       1.070297
     -2.000000       0.898990       1.108097
     -2.000000       0.919192       1.153405
     -2.000000       0.939394       1.205990
     -2.000000       0.959596       1.265588
     -2.000000       0.979798       1.331901
     -2.000000       1.000000       1.404600

     -1.959596      -1.000000       3.991008
     -1.959596      -0.979798       3.862315
     -1.959596      -0.959596       3.738292
     -1.959596      -0.939394       3.619413
     -1.959596      -0.919192       3.506125
     -1.959596      -0.898990       3.398844
     -1.959596      -0.878788       3.297950
     -1.959596      -0.858586       3.203787
     -1.959596      -0.838384       3.116658
     -1.959596      -0.818182       3.036824
     -1.959596      -0.797980       2.964500
     -1.959596      -0.777778       2.899859
     -1.959596      -0.757576       2.843021
     -1.959596      -0.737374       2.794062
     -1.959596      -0.717172       2.753004
     -1.959596      -0.696970       2.719822
     -1.959596      -0.676768       2.694438
     -1.959596      -0.656566       2.676726
     -1.959596      -0.636364       2.666510
     -1.959596      -0.616162       2.663563
     -1.959596      -0.595960       2.667614
     -1.959596      -0.575758       2.678344
     -1.959596      -0.555556       2.695390
     -1.959596      -0.535354       2.718350
     -1.959596      -0.515152       2.746780
     -1.959596      -0.494949       2.780202
     -1.959596      -0.474747       2.818106
     -1.959596      -0.454545       2.859951
     -1.959596      -0.434343       2.905172
     -1.959596      -0.414141       2.953182
     -1.959596      -0.393939       3.003377
     -1.959596      -0.373737       3.055139
     -1.959596      -0.353535       3.107844
     -1.959596      -0.333333       3.160861
     -1.959596      -0.313131       3.213561
     -1.959596      -0.292929       3.265319
     -1.959596      -0.272727       3.315521
     -1.959596      -0.252525       3.363565
     -1.959596      -0.232323       3.408870
     -1.959596      -0.212121       3.450874
     -1.959596      -0.191919       3.489045
     -1.959596      -0.171717       3.522881
     -1.959596      -0.151515       3.551913
     -1.959596      -0.131313       3.575711
     -1.959596      -0.111111       3.593886
     -1.959596      -0.090909       3.606093
     -1.959596      -0.070707       3.612033
     -1.959596      -0.050505       3.611455
     -1.959596      -0.030303       3.604160
     -1.959596      -0.010101       3.590000
     -1.959596       0.010101       3.568879
     -1.959596       0.030303       3.540756
     -1.959596       0.050505       3.505645
     -1.959596       0.070707       3.463611
     -1.959596       0.090909       3.414774
     -1.959596       0.111111       3.359306
     -1.959596       0.131313       3.297430
     -1.959596       0.151515       3.229419
     -1.959596       0.171717       3.155592
     -1.959596       0.191919       3.076314
     -1.959596       0.212121       2.991992
     -1.959596       0.232323       2.903071
     -1.959596       0.252525       2.810034
     -1.959596       0.272727       2.713396
     -1.959596       0.292929       2.613699
     -1.959596       0.313131       2.511512
     -1.959596       0.333333       2.407424
     -1.959596       0.353535       2.302039
     -1.959596       0.373737       2.195976
     -1.959596       0.393939       2.089860
     -1.959596       0.414141       1.984319
     -1.959596       0.434343       1.879983
     -1.959596       0.454545       1.777475
     -1.959596       0.474747       1.677408
     -1.959596       0.494949       1.580383
     -1.959596       0.515152       1.486983
     -1.959596       0.535354       1.397771
     -1.959596       0.555556       1.313285
     -1.959596       0.575758       1.234032
     -1.959596       0.595960       1.160492
     -1.959596       0.616162       1.093109
     -1.959596       0.636364       1.032289
     -1.959596       0.656566       0.978401
     -1.959596       0.676768       0.931773
     -1.959596       0.696970       0.892689
     -1.959596       0.717172       0.861390
     -1.959596       0.737374       0.838071
     -1.959596       0.757576       0.822883
     -1.959596       0.777778       0.815929
     -1.959596       0.797980       0.817267
     -1.959596       0.818182       0.826909
     -1.959596       0.838384       0.844822
     -1.959596       0.858586       0.870928
     -1.959596       0.878788       0.905106
     -1.959596       0.898990       0.947194
     -1.959596       0.919192       0.996990
